bin_year,group,RRinc
1988,1,1365.4266666666667
1988,2,2130.0933333333332
1988,3,2644.2533333333336
1988,4,3104.7466666666664
1988,5,3584.4666666666667
1988,6,4131.946666666667
1988,7,4766.386666666666
1988,8,5613.08
1988,9,6953.586666666667
1988,10,11649.413333333334
1993,1,1101.1478260869565
1993,2,1799.3826086956522
1993,3,2244.191304347826
1993,4,2644.6521739130435
1993,5,3078.4086956521737
1993,6,3567.2869565217393
1993,7,4162.260869565217
1993,8,4964.173913043478
1993,9,6265.017391304348
1993,10,11527.165217391304
1998,1,1178.1735537190082
1998,2,1937.6446280991736
1998,3,2416.2396694214876
1998,4,2869.793388429752
1998,5,3340.7685950413224
1998,6,3886.900826446281
1998,7,4540.9586776859505
1998,8,5437.214876033057
1998,9,6916.735537190083
1998,10,12823.98347107438
2003,1,1195.0375939849623
2003,2,1887.203007518797
2003,3,2338.2105263157896
2003,4,2753.4285714285716
2003,5,3183.436090225564
2003,6,3676.5789473684213
2003,7,4288.2180451127815
2003,8,5117.503759398496
2003,9,6461.751879699248
2003,10,11966.90977443609
2008,1,1428.9083333333333
2008,2,2249.3636363636365
2008,3,2811.4793388429753
2008,4,3319.471074380165
2008,5,3847.0413223140495
2008,6,4436.082644628099
2008,7,5158.98347107438
2008,8,6149.752066115702
2008,9,7714.305785123967
2008,10,14154.793388429753
